v|L|PRIVATE\BTXT||1|0|Asigna un valor a la variable
k|IF|PRIVATE\BTXT||1|0|Salto condicionado
j|GOTO|PRIVATE\BTXT||1|0|Salto incondicionado
e|.|PRIVATE\BTXT|label.bmp|1|0|Definición etiqueta
0s|SET|PRIVATE\BTXT||1|0|Asigna un valor a la variable
q|VT|PRIVATE\BTXT||1|0|Apertura tabla ventosas
w|VROW|PRIVATE\BTXT||1|0|Línea de tabla ventosas
0e|ENDVT|PRIVATE\BTXT||1|0|Cierre de tabla ventosas
0k|IF REPEAT|PRIVATE\BTXT|if_rept.bmp|1|0|Repetición condicionada de un ciclo
0l|IF THEN|PRIVATE\BTXT|if_then.bmp|1|0|Ejecución condicionada
0m|IF EXIT|PRIVATE\BTXT|if_exit.bmp|1|0|Salida condicionada de un ciclo
0v|ELSE|PRIVATE\BTXT||1|0|Alternativa de la ejecución condicionada
0f|FI|PRIVATE\BTXT||1|0|Fin de ejecución condicionada
0c|DO|PRIVATE\BTXT||1|0|Comienzo ciclo
0o|OD|PRIVATE\BTXT||1|0|Fin de ciclo
0h|REPEAT|PRIVATE\BTXT||1|0|Repetición de un ciclo
0z|EXIT|PRIVATE\BTXT||1|0|Salida de un ciclo
0d|SD|PRIVATE\BTXT||1|0|Set digit
0b|SB|PRIVATE\BTXT||1|0|Set bit
0r|RB|PRIVATE\BTXT||1|0|Reset bit
0w|WB|PRIVATE\BTXT||1|0|Wait bit
s|S|PRIVATE\BTXT||1|0|Llamada de subprograma
1v|PRINT|PRIVATE\BTXT||1|0|Visualización mensaje
1x|TRACE|PRIVATE\BTXT||1|0|Memorización mensaje
p|P||||0|Paso de MIX
9a|SO|PRIVATE\BTXT||1|0|Subprograma optimizado
9b|REF|PRIVATE\BTXT||1|0|Cambiar Referencia
4g|G03D|PRIVATE\FMILLING||1|0|3D begin milling
4q|G13D|PRIVATE\FMILLING||1|0|3D linear milling
3g|XG03D|PRIVATE\FMILLING||2|0|3D begin milling
3q|XG13D|PRIVATE\FMILLING||2|0|3D linear milling
9d|PPAR|PRIVATE\BTXT||1|0|Introducción de los parámetros para subprograma o macro
9e|PARSECTION|PRIVATE\BTXT||1|0|Configuración de una sección para los parámetros
9k|PB|PRIVATE\BTXT||1|0|Programación barra de la mesa motorizada
5a|XDEEPBORE|PRIVATE\EBORING||0|0|Selección de la modalidad ciclo de descarga viruta
nn|XSUBR|PRIVATE\DSPECIAL||0|0|xSUBR
nn|XENDSUBR|PRIVATE\DSPECIAL||0|0|xENDSUBR
nn|XSTOCKS|PRIVATE\PIECES||0|0|Apertura sesión de definición piezas
nn|XENDSTOCKS|PRIVATE\PIECES||0|0|Cierre sesión de definición piezas
nn|XSTKBEGIN|PRIVATE\PIECES||0|0|Apertura definición pieza individual
nn|XSTKEND|PRIVATE\PIECES||0|0|Cierre definición pieza individual 
nn|XSTKONSTOP|PRIVATE\PIECES||0|0|Apoyo pieza en tope por X
nn|XSTKPOINT|PRIVATE\PIECES||0|0|Punto inicial del perfil pieza
nn|XSTKPLANE|PRIVATE\PIECES||0|0|Definición pieza como sólido de extrusión
nn|XSTKORG|PRIVATE\PIECES||0|0|Origen pieza respecto a los topes
nn|XSTKLOCK|PRIVATE\PIECES||0|0|Dispositivo de bloqueo pieza
nn|XSTKLOAD|PRIVATE\PIECES||0|0|Definición pieza mediante fichero STL
nn|XSTKLINE|PRIVATE\PIECES||0|0|Segmento de recta
nn|XSTKBOX|PRIVATE\PIECES||0|0|Definición pieza como paralelepípedo
nn|XSTKARC|PRIVATE\PIECES||0|0|Arco de cerco
nn|XSTKREF|PRIVATE\PIECES||0|0|Indicación pieza de referencia
nn|XSTKSIDE|PRIVATE\PIECES||0|0|Indicación lados de bloqueo pieza
nn|XSTKMOV|PRIVATE\PIECES||0|0|Desplazamiento pieza
nn|XSTKSEP|PRIVATE\PIECES||0|0|Separación pieza
nn|LOCKPIECE|PRIVATE\COMBIFLEX||0|0|
nn|LOCKSOLUTION|PRIVATE\COMBIFLEX||0|0|
nn|OVERDIMENSION|PRIVATE\COMBIFLEX||0|0|
nn|SEQUENTIALPROGEXE|PRIVATE\COMBIFLEX||0|0|
nn|WORKPIECEBEGIN|PRIVATE\COMBIFLEX||0|0|
nn|WORKPIECEEND|PRIVATE\COMBIFLEX||0|0|
nn|WORKPIECESIZE|PRIVATE\COMBIFLEX||0|0|
3b|CAMLOCK|ASSEMBLAGGIO||0|0|Taladrado de unión con camlock
3b|FITTING_32|ASSEMBLAGGIO||0|0|barrera fitting
3b|FITTING_32_D|ASSEMBLAGGIO||0|0|barrera fitting doble
2k|TOEKICK|ASSEMBLAGGIO||0|0|Toe kick"
3b|UNIONE_O|ASSEMBLAGGIO||0|0|Taladrado de conexión horizontal
3b|UNIONE_V|ASSEMBLAGGIO||0|0|Taladrado de conexión vertical lado_1
3b|BARROT|BORES||0|0|Circular barrier of holes
3b|BOANGO|BORES||0|0|Barrier of holes with angle
3b|BOCEX|BORES||0|0|Barrier of holes centered in direction x axis
3b|BOCEY|BORES||0|0|Barrier of holes centered in direction y axis
3b|BOGROUP|BORES||0|0|Group of holes for connection
2f|XLINEBOR|BORES||0|0|Línea de orificios con ángulo
3b|BASET_1|CERNIERE||0|0|Taladrado soporte tipo 1"
3b|BASET_1_D|CERNIERE||0|0|Doble taladrado del soporte tipo 1 "   
3b|BASET_1_T|CERNIERE||0|0|Triple taladrado del soporte tipo 1 
3b|BASET_2|CERNIERE||0|0|Taladrado del soporte tipo 2"
3b|BASET_2_D|CERNIERE||0|0|Doble Taladrado del soporte tipo 2
3b|BASET_2_T|CERNIERE||0|0|Triple Taladrado del soporte tipo 2
